****************
acc: 0.916
****************
loss: 0.856641 (l2_loss: 0.377356), acc: 0.031250, valid_acc: 0.046875
loss: 0.003856 (l2_loss: 0.016134), acc: 1.000000, valid_acc: 1.000000
loss: 0.001513 (l2_loss: 0.015551), acc: 1.000000, valid_acc: 1.000000
loss: 0.001393 (l2_loss: 0.015044), acc: 1.000000, valid_acc: 1.000000
loss: 0.000479 (l2_loss: 0.014711), acc: 1.000000, valid_acc: 1.000000
loss: 0.004024 (l2_loss: 0.014861), acc: 1.000000, valid_acc: 1.000000
loss: 0.006142 (l2_loss: 0.014516), acc: 1.000000, valid_acc: 1.000000
loss: 0.002603 (l2_loss: 0.014274), acc: 1.000000, valid_acc: 1.000000
loss: 0.005920 (l2_loss: 0.014205), acc: 1.000000, valid_acc: 1.000000
loss: 0.001007 (l2_loss: 0.014234), acc: 1.000000, valid_acc: 1.000000
loss: 0.003835 (l2_loss: 0.014010), acc: 1.000000, valid_acc: 1.000000
loss: 0.003112 (l2_loss: 0.014279), acc: 1.000000, valid_acc: 1.000000
loss: 0.004684 (l2_loss: 0.014326), acc: 1.000000, valid_acc: 1.000000
[[1.         0.73898985]
 [0.73898985 1.        ]]
0.7389898456729835
