****************
acc: 0.884
****************
loss: 0.833751 (l2_loss: 0.281509), acc: 0.125000, valid_acc: 0.078125
loss: 0.699458 (l2_loss: 0.281235), acc: 0.437500, valid_acc: 0.921875
loss: 0.622677 (l2_loss: 0.280964), acc: 0.921875, valid_acc: 1.000000
loss: 0.570475 (l2_loss: 0.280706), acc: 0.984375, valid_acc: 0.968750
loss: 0.534961 (l2_loss: 0.280453), acc: 0.921875, valid_acc: 0.968750
loss: 0.488484 (l2_loss: 0.280191), acc: 0.937500, valid_acc: 0.968750
loss: 0.441377 (l2_loss: 0.279928), acc: 0.953125, valid_acc: 0.968750
loss: 0.372928 (l2_loss: 0.279662), acc: 1.000000, valid_acc: 1.000000
loss: 0.381062 (l2_loss: 0.279397), acc: 0.953125, valid_acc: 0.968750
loss: 0.361737 (l2_loss: 0.279126), acc: 0.953125, valid_acc: 1.000000
loss: 0.319218 (l2_loss: 0.278846), acc: 0.984375, valid_acc: 1.000000
loss: 0.036218 (l2_loss: 0.227189), acc: 0.984375, valid_acc: 1.000000
loss: 0.038564 (l2_loss: 0.170270), acc: 1.000000, valid_acc: 1.000000
loss: 0.004170 (l2_loss: 0.127736), acc: 1.000000, valid_acc: 1.000000
loss: 0.009873 (l2_loss: 0.097008), acc: 1.000000, valid_acc: 1.000000
loss: 0.007497 (l2_loss: 0.074816), acc: 1.000000, valid_acc: 1.000000
loss: 0.004980 (l2_loss: 0.059156), acc: 1.000000, valid_acc: 1.000000
loss: 0.002668 (l2_loss: 0.047566), acc: 1.000000, valid_acc: 0.984375
loss: 0.006199 (l2_loss: 0.039208), acc: 1.000000, valid_acc: 0.984375
loss: 0.001646 (l2_loss: 0.033069), acc: 1.000000, valid_acc: 1.000000
loss: 0.001596 (l2_loss: 0.028489), acc: 1.000000, valid_acc: 1.000000
loss: 0.003171 (l2_loss: 0.024858), acc: 1.000000, valid_acc: 1.000000
loss: 0.002310 (l2_loss: 0.022174), acc: 1.000000, valid_acc: 1.000000
loss: 0.006165 (l2_loss: 0.020466), acc: 1.000000, valid_acc: 1.000000
loss: 0.000777 (l2_loss: 0.018961), acc: 1.000000, valid_acc: 1.000000
loss: 0.000596 (l2_loss: 0.017912), acc: 1.000000, valid_acc: 1.000000
loss: 0.004168 (l2_loss: 0.016957), acc: 1.000000, valid_acc: 1.000000
loss: 0.006533 (l2_loss: 0.016226), acc: 1.000000, valid_acc: 1.000000
loss: 0.001815 (l2_loss: 0.015564), acc: 1.000000, valid_acc: 0.984375
loss: 0.002030 (l2_loss: 0.015395), acc: 1.000000, valid_acc: 1.000000
loss: 0.001015 (l2_loss: 0.015025), acc: 1.000000, valid_acc: 1.000000
loss: 0.004662 (l2_loss: 0.015073), acc: 1.000000, valid_acc: 0.984375
loss: 0.003835 (l2_loss: 0.014707), acc: 1.000000, valid_acc: 1.000000
loss: 0.003575 (l2_loss: 0.014679), acc: 1.000000, valid_acc: 1.000000
loss: 0.002051 (l2_loss: 0.014357), acc: 1.000000, valid_acc: 1.000000
loss: 0.004063 (l2_loss: 0.014174), acc: 1.000000, valid_acc: 1.000000
loss: 0.004183 (l2_loss: 0.014060), acc: 1.000000, valid_acc: 1.000000
loss: 0.001779 (l2_loss: 0.014401), acc: 1.000000, valid_acc: 1.000000
loss: 0.004197 (l2_loss: 0.014129), acc: 1.000000, valid_acc: 1.000000
loss: 0.003015 (l2_loss: 0.014158), acc: 1.000000, valid_acc: 1.000000
[[1.         0.74874618]
 [0.74874618 1.        ]]
0.748746176757251
