#{"t_start": 1595746395.970126, "env_id": "Hopper-v3"}
r,l,t
0.271888,152,447.417847
0.558707,164,448.813675
0.516491,181,450.364978
0.630673,124,451.466397
0.758688,150,452.799187
0.533793,162,454.118679
0.723994,148,455.411521
0.641081,139,456.523403
0.604968,141,457.874676
0.540215,162,459.206929
0.647751,140,460.440565
0.675368,131,461.537292
0.589817,157,462.887263
0.718407,166,464.45847
0.53302,127,465.497032
0.731148,151,466.829513
0.64703,152,468.089608
0.643017,192,469.73598
0.454376,150,471.12092
0.763192,155,472.38553
0.710966,173,473.85334
0.601755,151,475.11176
0.370775,120,476.081553
0.663502,137,477.255593
0.184773,50,477.631445
0.636191,153,478.868015
0.542156,154,480.071354
0.597851,125,481.122939
0.656713,145,482.265123
0.613243,157,483.63591
0.622496,142,484.799864
0.618651,153,486.114352
0.319785,115,487.100802
0.667491,155,488.440644
0.629694,144,489.685718
0.601023,131,490.812168
0.560064,159,492.115553
0.821617,153,493.48023
0.656675,160,495.005198
0.620029,142,496.180539
0.592548,178,497.695072
0.774112,156,499.055839
0.648783,159,500.400229
0.68617,164,501.937531
0.629665,165,503.310869
0.647025,182,504.879952
0.666035,159,506.248099
0.636748,133,507.419583
0.304628,126,508.569037
0.747971,194,510.172381
0.701261,152,511.460055
0.613159,153,512.729171
0.608401,176,514.434554
0.743569,191,516.060793
0.567976,148,517.322531
0.628735,155,518.598259
0.614463,151,519.997991
0.647489,195,521.632685
0.707454,157,523.041833
0.797771,189,526.467328
0.707935,140,527.679269
0.629603,148,528.896102
0.684925,170,530.34826
0.605073,161,531.673611
0.547279,212,533.551289
0.64423,197,535.205471
0.696258,275,537.489933
0.768799,165,538.97445
0.630337,188,540.577245
0.744182,184,542.096394
0.618325,140,543.298516
0.463146,168,544.8167
0.65824,144,546.005155
0.606128,159,547.372102
0.728859,180,548.859905
0.265207,58,549.374632
0.679817,191,551.109337
0.516442,147,552.358594
0.250531,58,552.820276
0.607439,181,554.601314
0.493835,174,556.072144
0.641064,161,557.520677
0.562871,133,558.696569
0.636339,178,560.147878
0.674325,146,561.42359
0.631733,169,562.856472
0.566495,164,564.322909
0.656385,150,565.614539
0.693482,168,566.985677
0.572432,207,568.779564
0.661004,195,570.484293
0.671558,133,571.631397
0.735741,144,572.847791
0.702655,165,574.258569
0.72176,181,575.67854
0.658022,285,578.02512
0.678491,155,579.279384
0.639074,193,580.87318
0.76896,160,582.23453
0.637968,148,583.470824
0.661281,186,585.138558
0.573338,143,586.345378
0.803874,195,588.058713
0.613175,145,589.366719
0.604032,144,590.521399
0.644084,165,591.936659
0.709169,152,593.223988
0.58444,146,594.540296
0.597354,176,596.058482
0.689121,143,597.24036
0.583382,179,598.754019
0.634751,183,600.369065
0.64893,149,601.65126
0.545466,165,603.085891
0.807109,171,604.560937
0.591519,165,605.936025
0.614943,173,607.545446
0.58929,176,608.973848
0.674437,189,610.615997
0.560951,185,614.109147
0.562793,189,615.736557
0.639463,150,617.027679
0.766692,193,618.672688
0.615816,144,619.993107
0.755616,199,621.662741
0.644164,227,623.613549
0.572536,201,625.416777
0.632287,220,627.241924
0.606768,154,628.584791
0.652712,328,631.406394
0.501746,250,633.548879
0.719601,166,635.001005
0.551237,221,636.859508
0.668145,160,638.304902
0.65461,188,639.881773
0.619957,165,641.321905
0.67167,207,643.118065
0.662423,143,644.397754
0.886094,179,645.96347
0.701242,178,647.510282
0.57994,174,648.946207
0.684266,228,651.026896
0.720027,239,653.07423
0.471459,206,654.818393
0.695509,193,656.52104
0.720769,227,658.516145
0.499574,122,659.557482
0.685168,184,661.155871
0.5286,226,663.086244
0.740252,165,664.559487
0.592973,202,666.267524
0.73102,192,667.91309
0.810911,160,669.304246
0.60646,136,670.50036
0.718364,200,672.214707
0.607267,160,673.475717
0.592629,151,674.951586
0.74179,164,676.226644
0.494315,160,677.507505
0.630376,176,678.862143
1.037774,291,681.29202
0.711044,147,682.518655
0.606036,166,683.91392
0.790212,152,685.288927
0.57518,205,687.045865
0.695532,161,688.445666
0.675942,226,690.350011
0.659043,167,691.816315
0.702765,184,693.40763
0.804088,200,695.177314
0.752585,198,696.803953
0.753537,226,701.083535
0.871677,185,702.593494
0.742937,230,704.610133
0.591453,188,706.34462
0.72483,226,708.284315
0.229066,47,708.658228
0.238774,64,709.225128
0.737813,190,710.85109
0.696702,216,712.755206
0.761226,200,714.420816
0.567564,152,715.730212
0.558246,179,717.207291
0.642692,166,718.79952
0.788779,173,720.254858
0.63555,192,721.908684
0.795407,185,723.483818
0.719287,196,725.172393
0.967999,264,727.391926
0.71691,173,728.846552
0.887713,224,730.820029
0.825688,207,732.556715
0.453197,225,734.579628
0.688035,206,736.427547
0.724138,184,737.95055
0.706515,228,739.906775
0.657324,275,742.318972
0.615506,182,743.881048
0.67852,158,745.207591
1.067535,226,747.12242
0.546316,192,748.946538
0.618145,283,751.343067
0.731381,164,752.714285
0.84975,204,754.452771
0.599399,183,756.061995
0.662809,357,759.140346
0.587627,193,760.828526
0.700226,217,762.73701
0.692341,176,764.338751
0.848226,245,766.457613
0.153699,72,767.194939
0.928473,236,769.170228
1.318162,570,773.931541
0.794235,273,776.147982
0.932869,242,778.098989
0.042176,245,780.166849
0.856766,174,781.62692
0.700697,206,783.318152
0.84185,207,785.10589
0.728643,176,786.713838
0.969299,229,793.93215
0.694111,238,796.031106
0.776712,195,797.776295
1.033385,210,799.667189
0.832661,422,803.319945
1.127162,417,806.938821
0.728654,298,809.434162
0.773778,268,811.825808
0.925049,256,814.034612
0.970826,256,816.245953
0.684471,167,817.717847
0.12428,20,817.883932
0.985183,223,819.793934
1.272323,341,822.791435
1.210656,309,825.528763
0.775748,336,828.375782
1.120995,346,831.440533
1.035406,246,833.467858
0.451472,149,834.763147
1.44808,384,838.134223
0.822614,158,839.442473
0.894718,196,841.17817
1.265129,339,844.094604
0.870135,235,846.035338
0.937057,268,848.463396
1.393086,599,853.705667
0.814453,232,855.790354
0.706943,253,857.923116
1.453821,530,862.565123
0.657604,265,864.916768
1.346785,377,868.201093
1.757784,616,873.324964
0.821366,225,875.126009
0.816582,274,877.31776
0.645486,179,881.55428
0.972056,282,884.062694
0.904109,198,885.852588
0.902241,226,887.828678
1.648636,602,892.985002
0.984506,246,895.06458
1.959306,552,899.89999
0.937703,212,901.697382
1.02754,247,903.997234
1.084569,442,907.774568
1.457616,524,912.400361
2.338425,999,921.165913
1.239943,399,924.59096
0.751812,241,926.737422
0.742487,213,928.681781
2.562443,788,936.235344
1.141254,218,938.28068
0.901246,311,941.360298
1.204232,319,944.303676
1.330314,448,948.445606
1.558965,537,953.225401
1.360593,417,956.889386
2.812,1000,965.649164
1.034652,463,969.769186
0.869627,314,982.127296
1.968163,816,989.463916
2.087426,759,996.342905
2.499159,1000,1005.118465
